Date,Country,iso3,aqi,co,no2,o3,pm10,pm25,so2
2016-02-03,China,CHN,122.6666667,13.67115385,21.53076923,16.23529412,75.61538462,150.0192308,18.25
2016-02-03,India,IND,,7.577777778,11.68888889,10.075,102.8,162,5.266666667
2016-02-03,Thailand,THA,,10.48,12.08,26,51.6,97,3.74
2016-02-04,China,CHN,136.6666667,12.40769231,20.35,16.88627451,71.46153846,138.5384615,15.45576923
2016-02-04,India,IND,,7.622222222,11.51111111,10.4625,108.4,174.0909091,5.1
2016-02-04,Thailand,THA,,11.58,15.24,27.78,55.8,111,3.18
2016-02-05,China,CHN,62.33333333,11.36153846,16.07692308,20.11764706,64.78846154,126.9038462,14.01153846
2016-02-05,India,IND,,8.755555556,11.54444444,12.12222222,131,186.6363636,5.922222222
2016-02-05,Thailand,THA,,11.36,17.84,28.88,59.2,127,3.46
2016-02-06,China,CHN,45,9.517307692,12.3,25.65490196,59.59615385,116.2307692,12.98461538
2016-02-06,India,IND,,7.888888889,11.07777778,9.444444444,134.4,190.7272727,3.4
2016-02-06,Thailand,THA,,9.28,9.86,30,53.4,121,2.9
2016-02-07,China,CHN,77.33333333,9.932692308,12.58653846,25.90588235,65.05769231,128.0384615,15.28076923
2016-02-07,India,IND,,7.8875,10.8875,8.7375,104.25,198.3,3.6625
2016-02-07,Thailand,THA,,8.64,6.72,32.22,55.2,82,3.18
2016-02-08,China,CHN,116.6666667,10.84038462,14.10576923,24.38235294,92.13461538,167.5384615,18.69423077
2016-02-08,India,IND,,7.922222222,9.744444444,9.711111111,85.4,167,4.655555556
2016-02-08,Thailand,THA,,9,13.18,29.02,62.2,154,3.46
2016-02-09,China,CHN,101.6666667,11.92884615,15.11346154,26.04117647,74.13461538,149.7692308,15.95769231
2016-02-09,India,IND,,7.822222222,10.46666667,9.266666667,113.4,183.1818182,2.955555556
2016-02-09,Thailand,THA,,9.84,20.78,25.98,69.2,158,4.04
2016-02-10,China,CHN,126,12.49230769,15.59423077,25.90196078,73.19230769,139.1923077,16.20961538
2016-02-10,India,IND,,7.822222222,10.93333333,10.96666667,129.8,196.9090909,3.133333333
2016-02-10,Thailand,THA,,12.3,28.02,24.88,80.4,163,5.46
2016-02-11,China,CHN,133,12.57692308,14.86153846,22.14509804,70,130.5,15.03076923
2016-02-11,India,IND,,7.811111111,9.933333333,12.16666667,109.4,173,3.1
2016-02-11,Thailand,THA,,11.18,20.78,26.64,73,169,6.64
2016-02-12,China,CHN,151.3333333,13.01923077,13.35192308,17.55686275,70.88461538,136.5576923,11.09615385
2016-02-12,India,IND,,7.533333333,11.26666667,11.43333333,113,169.1818182,3.555555556
2016-02-12,Thailand,THA,,10.84,17.08,20.66,68.2,169,4.04
2016-02-13,China,CHN,42.66666667,9.163461538,8.559615385,19.34705882,42.01923077,85.61538462,7.175
2016-02-13,India,IND,,7.95,10.3875,10.2875,105.8,162.7,3.45
2016-02-13,Thailand,THA,,9.24,14.5,17.48,60.2,168,4.04
2016-02-14,China,CHN,36.66666667,8.042307692,7.5,22.43921569,34.53846154,69.03846154,7.542307692
2016-02-14,India,IND,,8.355555556,9.855555556,14.9,86.8,154.9090909,5.233333333
2016-02-14,Thailand,THA,,8.68,12.3,18.92,58.6,156,3.46
2016-02-15,China,CHN,34.66666667,8.086538462,8.715384615,22.61960784,37.67307692,74.32692308,9.7
2016-02-15,India,IND,,7.233333333,10.74444444,9.222222222,93.8,157.5454545,5.111111111
2016-02-15,Thailand,THA,,9.22,13.74,17.34,56.6,165,4.04
2016-02-16,China,CHN,36,8.286538462,11.58076923,22.94705882,45.30769231,88.15384615,10.76923077
2016-02-16,India,IND,,7.722222222,9.555555556,9.988888889,91,156.4545455,4.333333333
2016-02-16,Thailand,THA,,9.18,14.14,16.86,54.6,162,3.46
2016-02-17,China,CHN,57,9.7,16.91153846,19.97843137,55.07692308,109.9038462,13.61923077
2016-02-17,India,IND,,6.388888889,10.16666667,9.033333333,104.8,157.6363636,4.2
2016-02-17,Thailand,THA,,9.88,14.12,25.66,62,156,3.18
2016-02-18,China,CHN,68.33333333,9.686538462,18.29615385,19.4,62.26923077,124.1730769,13.20192308
2016-02-18,India,IND,,6.855555556,10.65555556,11.42222222,102,153.9090909,4.511111111
2016-02-18,Thailand,THA,,9.98,13.76,29.5,64.2,157,4.32
2016-02-19,China,CHN,79.33333333,9.475,19.14230769,17.66078431,83.01923077,128.75,10.43846154
2016-02-19,India,IND,,7.366666667,12.35555556,10.06666667,103,165.2727273,4.011111111
2016-02-19,Thailand,THA,,9.64,12.64,28.8,62.8,155,2.9
2016-02-20,China,CHN,48.33333333,8.486538462,13.13461538,22.29803922,79.57692308,115.0192308,10.25961538
2016-02-20,India,IND,,8.044444444,8.933333333,13.85555556,95,159.1818182,3.577777778
2016-02-20,Thailand,THA,,8.34,10.98,30.62,61,151,3.2
2016-02-21,China,CHN,88.33333333,9.748076923,16.66346154,21.23137255,83.03846154,131.3076923,12.57115385
2016-02-21,India,IND,,7.111111111,7.311111111,14.62222222,77.6,148,2.8875
2016-02-21,Thailand,THA,,8.12,8.2,32.08,58.2,159,2.62
2016-02-22,China,CHN,170,10.75769231,15.96923077,18.62941176,74.96153846,134.2692308,12.45
2016-02-22,India,IND,,5.555555556,8.166666667,17.38888889,83.6,146.2727273,3.7
2016-02-22,Thailand,THA,,8.1,9.14,32.74,54,152,3.18
2016-02-23,China,CHN,55,9.225,12.92307692,19.23137255,59.34615385,115.7307692,8.892307692
2016-02-23,India,IND,,6.044444444,9.588888889,14.22222222,98,156.3636364,5.555555556
2016-02-23,Thailand,THA,,8.92,11.56,27.9,56,154,4.04
